Area,ISO 3 code,Year,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Clean,TWh,21,-1.19,-5.36
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Fossil,TWh,92.04,8.07,9.61
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,49.11,2.85,6.16
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,21,-1.19,-5.36
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Renewables,TWh,21,-1.19,-5.36
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Wind and Solar,TWh,0,0,
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Bioenergy,%,4.16,,
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Coal,%,37.98,,
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Gas,%,25.88,,
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Hydro,%,8.78,,
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Other Fossil,%,17.56,,
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Other Renewables,%,5.64,,
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Solar,%,0,,
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Wind,%,0,,
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Bioenergy,TWh,4.7,0.12,2.62
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Coal,TWh,42.93,5.22,13.84
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Gas,TWh,29.26,-3.83,-11.57
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Hydro,TWh,9.93,-1.72,-14.76
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Other Fossil,TWh,19.85,6.68,50.72
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Other Renewables,TWh,6.37,0.41,6.88
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Solar,TWh,0,0,
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Wind,TWh,0,0,
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Total,Total Generation,TWh,113.04,6.88,6.48
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Electricity imports,Electricity imports,Net Imports,TWh,0,0,
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Aggregate fuel,Clean,mtCO2,1.5,0.01,0.67
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Aggregate fuel,Fossil,mtCO2,71.24,6.27,9.65
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Aggregate fuel,Gas and Other Fossil,mtCO2,33.66,1.7,5.32
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",mtCO2,1.5,0.01,0.67
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Aggregate fuel,Renewables,mtCO2,1.5,0.01,0.67
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Aggregate fuel,Wind and Solar,mtCO2,0,0,
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,643.49,17.45,2.79
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Fuel,Bioenergy,mtCO2,1.02,0.03,3.03
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Fuel,Coal,mtCO2,37.58,4.57,13.84
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Fuel,Gas,mtCO2,20.6,-2.69,-11.55
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Fuel,Hydro,mtCO2,0.24,-0.04,-14.29
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Fuel,Other Fossil,mtCO2,13.06,4.39,50.63
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Fuel,Other Renewables,mtCO2,0.24,0.02,9.09
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Fuel,Solar,mtCO2,0,0,
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Fuel,Wind,mtCO2,0,0,
Indonesia,IDN,2002,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Total,Total emissions,mtCO2,72.74,6.28,9.45
Indonesia,IDN,2003,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Aggregate fuel,Clean,GW,4.73,0.03,0.64
Indonesia,IDN,2003,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Aggregate fuel,Fossil,GW,21.26,0.14,0.66
Indonesia,IDN,2003,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Aggregate fuel,Gas and Other Fossil,GW,12.85,0.14,1.1
Indonesia,IDN,2003,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",GW,4.73,0.03,0.64
Indonesia,IDN,2003,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Aggregate fuel,Renewables,GW,4.73,0.03,0.64
Indonesia,IDN,2003,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Aggregate fuel,Wind and Solar,GW,0,0,
Indonesia,IDN,2003,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Bioenergy,GW,0.75,0,0
Indonesia,IDN,2003,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Coal,GW,8.41,0,0
Indonesia,IDN,2003,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Gas,GW,10.12,0,0
Indonesia,IDN,2003,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Hydro,GW,3.17,0.01,0.32
Indonesia,IDN,2003,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Other Fossil,GW,2.73,0.14,5.41
Indonesia,IDN,2003,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Other Renewables,GW,0.81,0.02,2.53
Indonesia,IDN,2003,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Solar,GW,0,0,
